timeseries,supervised,analysis_tag,clf_name,tp,fp,fn,tn,mcc,acc,recall,test_time,test_time_per_item,dd_min,dd_max,dd_avg,fpr_min,fpr_max,fpr_avg,tpr_min,tpr_max,tpr_avg
False,False,test,CBLOF,1695,1900,2441,17964,0.3324794532209247,0.6570829123533256,0.40981624758220503,15,0.000625,0,24,9.166666666666666,0.027615713730066122,0.30751577739529545,0.10779264034886117,0,1,0.75
False,False,test,IForest,1660,1724,2476,18140,0.341361839293183,0.6572818960030724,0.40135396518375244,18,0.00075,0,0,0.0,0.002333722287047841,0.28284566838783703,0.09902868180063687,0,1,0.625
False,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(HBOS-10-0.8-None-3.0-0.7-None-1.0-10)),1822,1721,2314,18143,0.3767704983021196,0.6769415487598065,0.44052224371373305,242,0.010083333333333333,0,1,0.2857142857142857,0.0,0.3413654618473896,0.1012163573956066,0,1,0.875
False,False,test_nowarn,MCD,0,355295,0,4540616,0.0,0.9274302576170196,0.0,3276,0.0006691298105704945,-1,-1,-1,0.0,1.0,0.07246474145544354,0,0,0.0
False,False,test_nowarn,HBOS,0,343361,0,4552550,0.0,0.929867801926955,0.0,4576,0.0009346575131778335,-1,-1,-1,0.0,0.5833333333333334,0.07008038562971675,0,0,0.0
False,False,test_nowarn,CBLOF,0,399967,0,4495944,0.0,0.9183059087471157,0.0,7431,0.001517797198519336,-1,-1,-1,0.0,1.0,0.08163545700489439,0,0,0.0
False,False,test_nowarn,IForest,0,447104,0,4448807,0.0,0.9086780785026525,0.0,4344,0.0008872710308663699,-1,-1,-1,0.0,0.8793333333333333,0.09127759934327105,0,0,0.0
False,True,test_nowarn,ConfidenceBoosting(ConfidenceBoosterWeighted(HBOS-10-0.8-None-3.0-0.7-None-1.0-10)),0,361007,0,4534904,0.0,0.9262635697421787,0.0,51659,0.010551458145378868,-1,-1,-1,0.0,0.6013333333333334,0.0736802948212566,0,0,0.0
True,False,test,MCD,1152,2723,2984,17141,0.14518310653756103,0.5707239109893114,0.27852998065764023,56,0.0023333333333333335,0,23,8.666666666666666,0.052977712824260136,0.23006310958118187,0.14341236632108784,0,1,0.75
True,False,test,HBOS,666,2672,3470,17192,0.028934187609140447,0.5132552225539861,0.16102514506769827,56,0.0023333333333333335,0,11,4.333333333333333,0.0763609791742784,0.18101028999064547,0.13526381720294578,0,1,0.75
True,False,test,CBLOF,1698,2407,2438,17457,0.2902317848366891,0.6446838014942615,0.41054158607350094,59,0.002458333333333333,0,42,9.125,0.052897705173084404,0.3499713138267355,0.13543251468083659,1,1,1.0
